,power,power
,total_capacity,number_of_charger
zipcode,,
1031 VD,11.0,1
1031 XR,22.0,1
1031 XT,11.0,1
1032 AB,11.0,1
1032 AM,11.0,1
1032 BA,11.0,1
1032 BV,11.0,1
1032 BW,11.0,1
1032 EB,11.0,1
1032 GH,11.0,1
1032 GW,22.0,1
1032 GX,22.0,1
1032 HE,11.0,1
1032 HK,11.0,1
1032 JB,11.0,1
1032 JT,22.0,1
1032 JX,11.0,1
1032 KJ,11.0,1
1032 KW,11.0,1
1032 LH,22.0,2
1032 VS,11.0,1
1032 VW,11.0,1
1032 ZC,22.0,1
1033 AA,11.0,1
1033 AE,11.0,1
1033 BJ,11.0,1
1033 BW,22.0,1
1033 BX,22.0,1
1033 CC,22.0,1
1033 DC,11.0,1
1033 DK,22.0,1
1033 DR,11.0,1
1033 DV,22.0,1
1033 DX,11.0,1
1033 EK,11.0,1
1033 GE,22.0,1
1033 GG,11.0,1
1033 GZ,11.0,1
1033 HA,22.0,1
1033 HK,11.0,1
1033 HL,22.0,1
1033 JJ,22.0,1
1033 JP,11.0,1
1033 KM,11.0,1
1033 KS,11.0,1
1033 MD,11.0,1
1033 MV,11.0,1
1033 PB,11.0,1
1033 PH,22.0,1
1033 PJ,11.0,1
1033 PV,22.0,1
1033 PW,22.0,1
1033 RB,11.0,1
1033 RC,22.0,2
1033 RD,11.0,1
1033 RK,22.0,1
1033 RM,11.0,1
1033 RR,11.0,1
1033 SC,22.0,1
1033 SM,11.0,1
1033 SN,11.0,1
1033 SP,11.0,1
1033 ST,22.0,2
1033 SX,22.0,2
1033 VA,11.0,1
1033 VJ,11.0,1
1033 WG,11.0,1
1033 WP,11.0,1
1033 XE,22.0,1
1033 XN,11.0,1
1033 ZA,22.0,1
1033 ZK,11.0,1
1033 ZT,11.0,1
1034 AA,11.0,1
1034 BE,22.0,1
1034 CA,11.0,1
1034 DD,22.0,1
1034 DK,22.0,1
1034 DM,11.0,1
1034 DR,11.0,1
1034 DT,22.0,2
1034 EZ,22.0,2
1034 GA,11.0,1
1034 GV,11.0,1
1034 HD,22.0,2
1034 HJ,22.0,1
1034 JK,22.0,1
1034 JN,11.0,1
1034 KX,11.0,1
1034 LK,11.0,1
1034 MA,22.0,1
1034 ML,11.0,1
1034 NB,11.0,1
1034 NL,11.0,1
1034 PP,22.0,1
1034 PT,11.0,1
1034 RA,11.0,1
1034 RV,11.0,1
1034 SP,33.0,2
1034 ST,22.0,1
1034 TN,11.0,1
1034 VB,22.0,1
1034 WC,22.0,1
1034 WD,11.0,1
1034 WG,11.0,1
1034 XC,11.0,1
1034 XG,22.0,1
1034 XM,22.0,1
1034 ZK,11.0,1
1035 BK,11.0,1
1035 HK,11.0,1
1035 HM,22.0,1
1035 HN,11.0,1
1035 HV,22.0,1
1035 HZ,11.0,1
1035 JB,11.0,1
1035 JR,11.0,1
1035 JS,22.0,1
1035 JW,55.0,3
1035 JX,11.0,1
1035 KG,22.0,2
1035 KP,22.0,1
1035 KW,11.0,1
1035 LC,11.0,1
1035 NE,11.0,1
1035 RD,11.0,1
1035 SW,11.0,1
1035 SX,22.0,1
1035 TT,11.0,1
1035 VB,22.0,1
1035 XJ,11.0,1
1035 XS,11.0,1
1035 XT,22.0,1
1036 KD,11.0,1
1036 KJ,66.0,4
1036 KM,11.0,1
1036 KR,11.0,1
1036 LD,11.0,1
1036 LG,11.0,1
1036 LL,11.0,1
1036 LM,22.0,1
1037 RS,11.0,1
1042 AH,11.0,1
1043 AC,44.0,4
1043 AH,4.0,1
1043 AJ,11.0,1
1043 BE,11.0,1
1043 BJ,11.0,1
1043 BX,11.0,1
1043 DV,11.0,1
1046 AB,22.0,1
1046 AD,11.0,1
1046 AE,22.0,1
1046 AG,11.0,1
1046 AK,50.0,1
1047 AZ,22.0,1
1051 AL,11.0,1
1051 AN,11.0,1
1051 AV,22.0,2
1051 BW,11.0,1
1051 CA,11.0,1
1051 CG,33.0,3
1051 CN,22.0,1
1051 CP,22.0,1
1051 CZ,11.0,1
1051 DD,11.0,1
1051 ED,44.0,3
1051 EL,11.0,1
1051 EN,22.0,1
1051 ES,11.0,1
1051 ET,22.0,1
1051 GL,11.0,1
1051 GN,11.0,1
1051 GV,22.0,1
1051 HL,11.0,1
1051 HP,44.0,2
1051 HV,22.0,1
1051 JN,11.0,1
1051 JZ,22.0,1
1051 KH,11.0,1
1051 KN,11.0,1
1051 LG,22.0,1
1051 LM,11.0,1
1051 LN,22.0,1
1051 LP,22.0,1
1051 LS,11.0,1
1051 LT,11.0,1
1051 MJ,11.0,1
1051 NX,11.0,1
1051 TK,22.0,1
1051 TN,11.0,1
1051 TS,22.0,1
1051 VA,11.0,1
1051 VD,11.0,1
1051 VR,11.0,1
1051 VT,11.0,1
1051 XC,33.0,2
1051 XP,22.0,1
1051 XR,11.0,1
1052 AC,11.0,1
1052 AE,11.0,1
1052 AK,22.0,1
1052 AV,11.0,1
1052 BA,22.0,1
1052 BB,11.0,1
1052 BD,11.0,1
1052 BR,11.0,1
1052 CE,11.0,1
1052 CG,11.0,1
1052 EM,11.0,1
1052 ES,44.0,2
1052 ET,11.0,1
1052 GA,11.0,1
1052 GB,11.0,1
1052 GL,22.0,1
1052 GN,22.0,1
1052 HS,22.0,1
1052 HZ,11.0,1
1052 JE,22.0,1
1052 JK,22.0,1
1052 JL,11.0,1
1052 JT,11.0,1
1052 JX,11.0,1
1052 KG,11.0,1
1052 KP,11.0,1
1052 LM,11.0,1
1052 LP,11.0,1
1052 LS,22.0,1
1052 RJ,11.0,1
1052 RP,22.0,1
1052 SE,11.0,1
1052 SL,33.0,2
1052 SP,22.0,1
1052 SW,11.0,1
1052 TJ,22.0,1
1052 VA,11.0,1
1052 VC,11.0,1
1052 VG,11.0,1
1052 WC,11.0,1
1052 WG,11.0,1
1052NA,11.0,1
1053 AP,11.0,1
1053 AS,22.0,1
1053 BD,11.0,1
1053 BT,22.0,1
1053 CL,22.0,1
1053 CW,11.0,1
1053 GP,22.0,1
1053 HG,11.0,1
1053 HK,22.0,1
1053 JE,11.0,1
1053 JM,11.0,1
1053 KE,11.0,1
1053 LJ,22.0,1
1053 LL,11.0,1
1053 LR,11.0,1
1053 MJ,11.0,1
1053 NG,11.0,1
1053 PE,22.0,1
1053 PR,22.0,1
1053 PV,11.0,1
1053 PW,11.0,1
1053 RE,22.0,1
1053 RL,22.0,1
1053 RV,22.0,2
1053 RZ,22.0,1
1053 SB,11.0,1
1053 SC,11.0,1
1053 SE,11.0,1
1053 SJ,22.0,2
1053 SV,22.0,1
1053 SX,33.0,2
1053 TN,11.0,1
1053 TT,11.0,1
1053 TW,22.0,1
1053 VB,11.0,1
