,charger_ID,city,address,provider,latitude,longitude,operator,type,power,zipcode
710,E75FF80D-D1DF-4D04-A2C6-3B8B39C07CEF,Amsterdam,Maria Austriastraat 618,TotalEnergie,52.355332,4.99785,TotalEnergie,AC,22,1087 GL
711,E7C63EBD-B83F-4FA4-A15D-6D7696755912,Amsterdam,Jarmuiden 54,TotalEnergie,52.39101,4.790718,TotalEnergie,AC,22,1046 AE
712,E8009130-226C-4432-82CE-113EA199FEB1,Amsterdam,Schierstins 97,TotalEnergie,52.333482,4.875054,TotalEnergie,AC,22,1082 TE
713,E86A495A-BA87-498B-B82C-F76BF0EFED5A,Amsterdam,Busken Huetstraat 4,TotalEnergie,52.358932,4.856957,TotalEnergie,AC,22,1054 SZ
714,e87e5e7e-e985-486f-996c-7079bf59419b,Amsterdam,Hortusplantsoen 17,TotalEnergie,52.365929,4.907941,TotalEnergie,AC,22,1018 TZ
715,E92B7AD1-A14F-4940-BBC8-9B8B4B51EE1C,Amsterdam,Emanzana 11,TotalEnergie,52.324762,4.964473,TotalEnergie,AC,22,1003 AE
716,E9FAEC9B-4216-4D10-AABA-4D780A199CB8,Amsterdam,Pieter van der Doesstraat 132,TotalEnergie,52.373881,4.856138,TotalEnergie,AC,22,1056 VR
717,ea0fccb4-843c-4807-87da-e1c49285c3f0,Amsterdam,Hasebroekstraat 15,TotalEnergie,52.36627,4.866525,TotalEnergie,AC,22,1053 CL
718,EA517500-7333-4D52-8699-5690D939095A,Amsterdam,Meidoornweg 36,TotalEnergie,52.387293,4.911201,TotalEnergie,AC,22,1031 GH
719,EABEAB88-CB27-48D6-8421-BE18DBDC9864,Amsterdam,Jan Voermanstraat 60,TotalEnergie,52.368658,4.839281,TotalEnergie,AC,22,1061 XH
720,EAC58D87-E6FB-4456-8B04-CC196E56A3DF,Amsterdam,J.S. Ruppertstraat 33,TotalEnergie,52.352652,4.796574,TotalEnergie,AC,22,1069 KJ
721,eacb3a3f-767a-4884-8fe8-843fc1971a14,Amsterdam,Jekerstraat 45,TotalEnergie,52.345885,4.897393,TotalEnergie,AC,22,1078 LX
722,EB135DF1-D120-4D5E-B3C2-0C6CCFE3B2A3,Amsterdam,Beethovenstraat 186,TotalEnergie,52.342135,4.876438,TotalEnergie,AC,22,1077 JX
723,eb338a1f-3218-4ad8-8c67-e9f5b8793833,Amsterdam,Vertrouwen 12,TotalEnergie,52.355137,4.802071,TotalEnergie,AC,22,1068 RA
724,EBB352FE-8A88-47C9-939A-67E4F7FB26BE,Amsterdam,Kolfschotenstraat 290,TotalEnergie,52.315963,4.968239,TotalEnergie,AC,22,1104 PE
725,EBE40A40-FF3C-4E2D-8A63-D6FB5D6536B3,Amsterdam,Lambert Rimastraat 66,TotalEnergie,52.29955,4.999182,TotalEnergie,AC,22,1106 ZT
726,ec4a4fcd-8c8e-475e-95ed-2924a8c9a827,Amsterdam,Jan Maijenstraat 1,TotalEnergie,52.371195,4.853204,TotalEnergie,AC,22,1056 SE
727,EC576F02-DB78-4CFD-AC77-DD0F41351E9B,Amsterdam,Inzet 29,TotalEnergie,52.355383,4.803804,TotalEnergie,AC,22,1068 RC
728,ec71a17a-a18c-47b5-9bba-f361fb230f93,Amsterdam,Kattenburgerstraat 144,TotalEnergie,52.372658,4.918601,TotalEnergie,AC,22,1018 JG
729,EC7E6B9F-A4CC-4A7E-9098-DB3DE07E90DB,Amsterdam,Schotse Hooglanden 78,TotalEnergie,52.351565,4.76989,TotalEnergie,AC,22,1060 NM
730,ec888efc-97fb-495d-bb8f-343525ed4942,Amsterdam,Pasteurstraat 44,TotalEnergie,52.34837,4.937295,TotalEnergie,AC,22,1097 EV
731,ED1CC858-9C4E-42A1-9993-4FD5167AEC57,Amsterdam,Tweede Oosterparkstraat 2,TotalEnergie,52.355684,4.911846,TotalEnergie,AC,22,1091 JC
732,ED41F792-8DF5-486B-ADFA-B9A6E459EC12,Amsterdam,Derde Oosterparkstraat 82,TotalEnergie,52.356473,4.916702,TotalEnergie,AC,22,1091 KB
733,ED460F96-27AF-4B2E-A39C-A7B37C4D411E,Amsterdam,Westerstraat 36,TotalEnergie,52.378847,4.88524,TotalEnergie,AC,22,1015 MK
734,ed4f091e-4978-44e4-8509-f32169f32a69,Amsterdam,Reina Prinsen Geerligsstraat 2,TotalEnergie,52.379109,4.833014,TotalEnergie,AC,22,1063 XZ
735,EE254C02-FAD2-4B43-83DD-D75809A0D4FA,Amsterdam,Rustenburgerstraat 405,TotalEnergie,52.351276,4.890434,TotalEnergie,AC,22,1072 GW
736,EE4213B2-4B8B-40B9-819D-BDF8EAA2744B,Amsterdam,Radboud 20,TotalEnergie,52.326906,4.867656,TotalEnergie,AC,22,1081 AR
737,eeabfeb8-a726-4583-9747-dc8e424e230b,Amsterdam,Jacob Krüsestraat 19,TotalEnergie,52.30039,4.994948,TotalEnergie,AC,22,1106 ZK
