Postcode,Januari 2017,Februari 2017,Maart 2017,April 2017,Mei 2017,Juni 2017,Juli 2017,Augustus 2017,September 2017,Oktober 2017,November 2017,December 2017,Januari 2018,Februari 2018,Maart 2018,April 2018,Mei 2018,Juni 2018,Juli 2018,Augustus 2018,September 2018,Oktober 2018,November 2018,December 2018,Januari 2019,Februari 2019,Maart 2019,April 2019,Mei 2019,Juni 2019,Juli 2019,Augustus 2019,September 2019,Oktober 2019,November 2019,December 2019,Januari 2020,Februari 2020,Maart 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Augustus 2020,September 2020,Oktober 2020,November 2020,December 2020,Januari 2021,Februari 2021,Maart 2021,April 2021,Mei 2021,Juni 2021,Juli 2021,Augustus 2021,September 2021,Oktober 2021,November 2021,December 2021,Januari 2022,Februari 2022,Maart 2022,April 2022,Mei 2022,Juni 2022,Juli 2022,Augustus 2022,September 2022,Oktober 2022,November 2022,December 2022
1041,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,15.0,15.0,15.0,15.0,15.0
1042,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,14.0,14.0,15.0,16.0,17.0,17.0,22.0,24.0,24.0,24.0,25.0,25.0,25.0,27.0,27.0,28.0,28.0,29.0,31.0,32.0,33.0,35.0,37.0,37.0,39.0,45.0,47.0,47.0,54.0,57.0,59.0,59.0,59.0,61.0,62.0,63.0,63.0,66.0,66.0,66.0,68.0,69.0,68.0,67.0,54.0,53.0,54.0,57.0,58.0,60.0
1043,11.0,11.0,13.0,13.0,12.0,12.0,12.0,12.0,14.0,16.0,17.0,17.0,20.0,21.0,22.0,24.0,24.0,28.0,27.0,28.0,32.0,37.0,39.0,46.0,45.0,45.0,48.0,48.0,52.0,60.0,63.0,66.0,76.0,88.0,99.0,120.0,123.0,127.0,138.0,140.0,143.0,147.0,151.0,158.0,163.0,169.0,182.0,211.0,216.0,218.0,220.0,222.0,228.0,234.0,242.0,248.0,253.0,260.0,269.0,297.0,297.0,300.0,305.0,312.0,315.0,322.0,324.0,324.0,325.0,332.0,333.0,340.0
1044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
1045,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1046,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,7.0,6.0,6.0,9.0,11.0,11.0,12.0,12.0,12.0,14.0,15.0,16.0,16.0,16.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,23.0,23.0,26.0,28.0,27.0,28.0,28.0,28.0,28.0,28.0,30.0,33.0,36.0,34.0,35.0,37.0,37.0,38.0,40.0,40.0,44.0,45.0,49.0,54.0,58.0,62.0,62.0,64.0,66.0,66.0,65.0,67.0,66.0,67.0,70.0,71.0,73.0
1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1051,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,10.0,12.0,13.0,14.0,14.0,15.0,17.0,17.0,17.0,14.0,14.0,14.0,16.0,16.0,19.0,26.0,27.0,26.0,28.0,29.0,30.0,32.0,33.0,36.0,40.0,44.0,45.0,50.0,49.0,49.0,52.0,54.0,56.0,56.0,58.0,51.0,50.0,48.0,49.0,54.0,52.0,53.0,53.0,60.0,59.0,61.0,56.0,56.0,58.0,60.0,60.0,62.0
1052,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,21.0,23.0,22.0,22.0,22.0,23.0,23.0,24.0,25.0,26.0,28.0,30.0,33.0,34.0,34.0,36.0,37.0,37.0,40.0,41.0,44.0,46.0,50.0,49.0,52.0,53.0,50.0,49.0,51.0
1053,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,14.0,16.0,17.0,18.0,18.0,19.0,19.0,20.0,20.0,23.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,32.0,32.0,34.0,35.0,35.0,35.0,36.0,37.0,40.0,41.0,43.0,44.0,45.0,47.0,48.0,49.0,52.0,53.0,55.0,54.0,57.0,62.0,65.0,65.0,63.0,67.0,68.0,66.0,66.0,67.0
